年度季別,全國,新北市,台北市,桃園市,台中市,台南市,高雄市
112Q2,42.09,55.41,66.54,34.61,49.53,40.94,39.58
112Q1,41.19,54.13,64.5,33.88,48.08,39.96,38.83
111Q4,40.25,53.1,66.06,32.81,46.53,39.22,38.76
111Q3,40.55,53.66,67.07,33.04,46.96,40.16,37.49
111Q2,39.62,52.41,66.12,32.01,45.54,38.26,38.17
111Q1,38.35,51.45,64.91,31.5,45.08,36.84,35.59
110Q4,37.83,50.02,65.09,31.76,43.5,35.99,34.07
110Q3,36.9,48.46,63.35,31.08,41.1,33.11,31.22
110Q2,36.27,48.48,63.11,30.29,39.46,31.64,30.36
110Q1,36.54,49.01,62.17,29.95,40.63,31.12,30.4
109Q4,36.81,48.36,63.12,30.59,40.08,30.94,31.12
109Q3,36.76,48.63,61.14,31.72,39.91,30.15,30.58
109Q2,34.64,46.04,57.57,29.69,38.41,29.18,29.08
109Q1,35.3,47.94,57.06,30.61,40.99,29.81,29.83
108Q4,35.15,48.01,57.11,29.73,40.16,29.47,29.14
108Q3,34.73,47.8,56.28,29.67,38.49,28.41,29.06
108Q2,36.06,48.59,59.25,30.16,38,29.18,31.48
108Q1,35.53,49.36,58.07,30.33,39.97,28.89,30.76
107Q4,35.12,48.56,56.83,29.51,38.8,27.32,28.61
107Q3,36.17,49.79,57.7,30.79,37.97,28,30.97
107Q2,36.9,50.32,61.56,33.32,38.14,29.53,32.56
107Q1,37.25,52.3,61.54,33.13,39.31,29.92,33.5
106Q4,37.58,52.19,61.52,33.42,39.45,31.06,33.74
106Q3,37.84,51.21,62.08,33.76,38.7,30.13,34.15
106Q2,38.9,52.19,64.29,34.1,39.6,31.14,34.93
106Q1,38.04,51.45,63.9,34.95,38.6,30.35,33.63
105Q4,38.34,51.91,62.48,35.29,40.14,30.54,34.75
105Q3,38.49,52.33,63.71,35,38.79,30.64,35.48
105Q2,37.14,51.81,62.39,33.99,38.68,30.37,33.57
105Q1,35.35,51.92,62.24,31.81,37.04,29.06,32.03
104Q4,35.81,53.27,66.26,31.57,37.43,28.37,33.11
104Q3,36.1,53.11,66.18,32.55,36.63,28.82,33.47
104Q2,36.36,54.16,67.34,33.03,36.92,28.45,33.58
104Q1,35.94,55.27,68.63,30.44,36.22,28.42,33.46
103Q4,35.61,54.1,66.59,30.09,35.37,27.7,32.69
103Q3,35.56,54.3,64.36,30.69,35.16,27.49,32.4
103Q2,35.35,54.24,60.37,30.06,34.53,26.16,32.38
103Q1,31.81,52.53,61.87,28.21,31.65,24.84,31.81
102Q4,35.36,53.51,63.37,29.37,34.37,26.81,31.02
102Q3,37.85,54.53,62.88,29.29,33.9,26.28,32.2
102Q2,37.85,54.11,64.33,30.19,34.73,26.08,32.3
102Q1,35.29,51.69,65.64,31.03,35.41,27.27,31.61
101Q4,32.78,47.85,62.26,28.86,33.85,27.48,28.76
101Q3,31.41,48.01,65.1,27.39,32.07,27.86,28.52
101Q2,33.82,46.95,65.01,30.64,32.84,27.78,30.39
101Q1,31.31,43.48,60.88,27.25,31.76,26.03,27.19
100Q4,30.52,42.53,57.43,25.75,30.73,26.46,26.5
100Q3,30.62,42.59,59.76,25.69,30.81,25.78,26.84
100Q2,30.51,41.66,56.98,24.98,30.39,25.63,25.67
100Q1,30.37,38.83,53.78,24.39,30.31,25.31,26.42
